basic_number,class_number,term,language
10008,1,"acetate of cellulose, unprocessed",en
10007,1,acetates [chemicals],en
10010,1,acetic anhydride,en
10011,1,acetone,en
10012,1,acetylene,en
10013,1,acetylene tetrachloride,en
10016,1,acid proof chemical compositions,en
10014,1,acids*,en
10251,1,acidulated water for recharging batteries / acidulated water for recharging accumulators,en
10461,1,"acrylic resins, unprocessed",en
10018,1,actinium,en
10025,1,activated carbon / activated charcoal,en
10731,1,active chemical ingredients,en
10741,1,active chemical ingredients for use in the manufacture of pharmaceuticals,en
10019,1,"additives, chemical, to drilling muds / chemical additives to drilling muds",en
10309,1,"additives, chemical, to fungicides / chemical additives to fungicides",en
10308,1,"additives, chemical, to insecticides / chemical additives to insecticides",en
10020,1,"additives, chemical, to motor fuel / chemical additives to motor fuel",en
10022,1,adhesive preparations for surgical bandages,en
10028,1,adhesives for billposting,en
10002,1,adhesives for industrial purposes,en
10203,1,adhesives for paperhanging / adhesives for wallpaper,en
10573,1,adhesives for wall tiles,en
10690,1,"adjuvants, other than for medical or veterinary purposes",en
10029,1,agar-agar for industrial purposes,en
10030,1,agglutinants for concrete,en
10031,1,"agricultural chemicals, except fungicides, herbicides, insecticides and parasiticides",en
10036,1,albumenized paper,en
10033,1,"albumin [animal or vegetable, raw material]",en
10040,1,alcohol for industrial purposes,en
10042,1,aldehydes*,en
10564,1,alginates for industrial purposes,en
10669,1,alginates for the food industry,en
10037,1,alkalies,en
10559,1,alkaline iodides for industrial purposes,en
10560,1,alkaline metals,en
10039,1,alkaline-earth metals,en
10562,1,alkaloids*,en
10052,1,alum,en
10046,1,alumina,en
10565,1,aluminium acetate*,en
10047,1,aluminium alum,en
10050,1,aluminium chloride,en
10048,1,aluminium hydrate,en
10051,1,aluminium iodide,en
10049,1,aluminium silicate,en
10054,1,americium,en
10558,1,ammonia [volatile alkali] for industrial purposes / volatile alkali [ammonia] for industrial purposes,en
10063,1,ammonia alum,en
10061,1,ammonia*,en
10060,1,ammoniacal salts,en
10062,1,ammonium aldehyde,en
10700,1,ammonium nitrate,en
10567,1,ammonium salts,en
10064,1,amyl acetate,en
10065,1,amyl alcohol,en
10067,1,anhydrides,en
10066,1,anhydrous ammonia,en
10069,1,animal albumen [raw material],en
10568,1,animal carbon,en
10165,1,animal carbon preparations,en
10068,1,animal charcoal,en
10738,1,animal extracts for the food industry,en
10710,1,animal manure,en
10070,1,anthranilic acid,en
10645,1,anti-boil preparations for engine coolants,en
10006,1,anti-frothing solutions for batteries / anti-frothing solutions for accumulators,en
10073,1,anti-incrustants,en
10071,1,anti-knock substances for internal combustion engines,en
10571,1,anti-sprouting preparations for vegetables,en
10523,1,anti-tarnishing chemicals for windows,en
10072,1,antifreeze,en
10074,1,antimony,en
10075,1,antimony oxide,en
10076,1,antimony sulfide,en
10693,1,antioxidants for use in manufacture,en
10694,1,antioxidants for use in the manufacture of cosmetics,en
10696,1,antioxidants for use in the manufacture of food supplements,en
10695,1,antioxidants for use in the manufacture of pharmaceuticals,en
10260,1,"antistatic preparations, other than for household purposes",en
10082,1,argon,en
10084,1,arsenic,en
10085,1,arsenious acid,en
10607,1,artificial sweeteners for industrial purposes,en
10733,1,artificial sweeteners for the food industry,en
10735,1,aspartame for industrial purposes,en
10736,1,aspartame for the food industry,en
10086,1,astatine,en
10004,1,auxiliary fluids for use with abrasives,en
10594,1,"bacterial preparations, other than for medical and veterinary use",en
10009,1,bacteriological preparations for acetification,en
10595,1,"bacteriological preparations, other than for medical and veterinary use",en
10101,1,barium,en
10104,1,barium compounds,en
10574,1,barium sulfate,en
10102,1,baryta,en
10103,1,baryta paper,en
10495,1,barytes,en
10106,1,bases [chemical preparations],en
10126,1,basic gallate of bismuth,en
10208,1,"bate for dressing skins / dressing, except oils, for skins",en
10108,1,bauxite,en
10121,1,beer clarifying agents,en
10619,1,beer preserving agents,en
10109,1,bentonite,en
10713,1,benzene,en
10111,1,benzene derivatives,en
10110,1,benzene-based acids,en
10112,1,benzoic acid,en
10113,1,benzoic sulfimide for industrial purposes,en
10714,1,benzol,en
10115,1,berkelium,en
10578,1,bicarbonate of soda for chemical purposes,en
10118,1,bichloride of tin,en
10119,1,bichromate of potassium,en
10120,1,bichromate of soda,en
10122,1,biochemical catalysts,en
10579,1,"biological preparations, other than for medical or veterinary purposes",en
10658,1,"biological tissue cultures, other than for medical or veterinary purposes",en
10720,1,biostimulants for plants,en
10334,1,birdlime,en
10125,1,bismuth,en
10494,1,bismuth subnitrate for chemical purposes,en
10168,1,blood charcoal,en
10225,1,blue vitriol / copper sulfate [blue vitriol],en
10434,1,blueprint cloth,en
10432,1,blueprint paper,en
10167,1,bone charcoal,en
10134,1,borax,en
10135,1,boric acid for industrial purposes,en
