term,description,class_number,language
dressmakers' articles,"Class 26 includes dressmakers' articles and haberdashery goods.",26,en
haberdashery goods,"Class 26 includes dressmakers' articles and haberdashery goods.",26,en
lace trimmings,"These goods may be decorative, such as lace trimmings, and frills, and spangles for clothing.",26,en
frills for clothing,"These goods may be decorative, such as lace trimmings, and frills, and spangles for clothing.",26,en
spangles for clothing,"These goods may be decorative, such as lace trimmings, and frills, and spangles for clothing.",26,en
buttons,"They may also be functional, such as buttons, hooks and eyes, belt clasps, snap fasteners, zip fasteners and shoe buckles.",26,en
hooks and eyes,"They may also be functional, such as buttons, hooks and eyes, belt clasps, snap fasteners, zip fasteners and shoe buckles.",26,en
belt clasps,"They may also be functional, such as buttons, hooks and eyes, belt clasps, snap fasteners, zip fasteners and shoe buckles.",26,en
snap fasteners,"They may also be functional, such as buttons, hooks and eyes, belt clasps, snap fasteners, zip fasteners and shoe buckles.",26,en
zip fasteners,"They may also be functional, such as buttons, hooks and eyes, belt clasps, snap fasteners, zip fasteners and shoe buckles.",26,en
shoe buckles,"They may also be functional, such as buttons, hooks and eyes, belt clasps, snap fasteners, zip fasteners and shoe buckles.",26,en
crochet hooks,"The broad reference to pins and needles in the Class Heading allows for the introduction of crochet hooks, knitting needles and sewing needles, as well as items that are related to these goods, such as pin cushions and boxes for needles.",26,en
knitting needles,"The broad reference to pins and needles in the Class Heading allows for the introduction of crochet hooks, knitting needles and sewing needles, as well as items that are related to these goods, such as pin cushions and boxes for needles.",26,en
sewing needles,"The broad reference to pins and needles in the Class Heading allows for the introduction of crochet hooks, knitting needles and sewing needles, as well as items that are related to these goods, such as pin cushions and boxes for needles.",26,en
pin cushions,"The broad reference to pins and needles in the Class Heading allows for the introduction of crochet hooks, knitting needles and sewing needles, as well as items that are related to these goods, such as pin cushions and boxes for needles.",26,en
boxes for needles,"The broad reference to pins and needles in the Class Heading allows for the introduction of crochet hooks, knitting needles and sewing needles, as well as items that are related to these goods, such as pin cushions and boxes for needles.",26,en
yarns for textile use,"It is worth remembering, however, that yarns and threads for textile use belong to Cl. 23 and that certain special types of needles can belong to other classes, for example, tattoo needles in Cl. 8 and needles for medical purposes in Cl. 10.",23,en
threads for textile use,"It is worth remembering, however, that yarns and threads for textile use belong to Cl. 23 and that certain special types of needles can belong to other classes, for example, tattoo needles in Cl. 8 and needles for medical purposes in Cl. 10.",23,en
tattoo needles,"It is worth remembering, however, that yarns and threads for textile use belong to Cl. 23 and that certain special types of needles can belong to other classes, for example, tattoo needles in Cl. 8 and needles for medical purposes in Cl. 10.",8,en
needles for medical purposes,"It is worth remembering, however, that yarns and threads for textile use belong to Cl. 23 and that certain special types of needles can belong to other classes, for example, tattoo needles in Cl. 8 and needles for medical purposes in Cl. 10.",10,en
needles for knitting machines,"Furthermore, needles for knitting or sewing machines are in Cl. 7 along with knitting machines and sewing machines.",7,en
